id,city,riqi,temperature_h,temperature_l,weather,wind_direction,E,S,W,N,wind_power,min_wind_power,max_wind_power
170,三亚,2015/12/17,24,16,多云,东北风,1,0,0,1,3-4级,3,4
171,三亚,2015/12/18,25,18,多云,东北风,1,0,0,1,3-4级,3,4
172,三亚,2015/12/19,26,20,多云,东北风,1,0,0,1,3-4级,3,4
173,三亚,2015/12/20,28,22,多云,东北风,1,0,0,1,3-4级,3,4
174,三亚,2015/12/21,28,23,多云,东北风,1,0,0,1,3-4级,3,4
175,三亚,2015/12/22,30,24,多云,东北风,1,0,0,1,3-4级,3,4
176,三亚,2015/12/23,30,23,多云,东北风,1,0,0,1,3-4级,3,4
177,三亚,2015/12/24,30,24,多云,东北风,1,0,0,1,3-4级,3,4
178,三亚,2015/12/25,29,23,多云,东北风,1,0,0,1,3-4级,3,4
179,三亚,2015/12/26,29,22,多云,东北风,1,0,0,1,3-4级,3,4
180,三亚,2015/12/27,29,22,多云,东北风,1,0,0,1,3-4级,3,4
181,三亚,2015/12/28,29,21,多云,东北风,1,0,0,1,3-4级,3,4
182,三亚,2015/12/29,27,21,多云~小雨,东北风,1,0,0,1,3-4级,3,4
183,三亚,2015/12/30,28,21,多云,东北风,1,0,0,1,3-4级,3,4
184,三亚,2015/12/31,29,22,多云,东北风,1,0,0,1,3-4级,3,4
185,三亚,2016/1/1,28,22,多云,东北风,1,0,0,1,3-4级,3,4
186,三亚,2016/1/2,28,21,多云,东北风,1,0,0,1,3-4级,3,4
187,三亚,2016/1/3,29,23,多云,东北风,1,0,0,1,3-4级,3,4
188,三亚,2016/1/4,28,22,多云,东南风,1,1,0,0,3-4级,3,4
189,三亚,2016/1/5,28,22,多云,西北风,0,0,1,1,3-4级,3,4
190,三亚,2016/1/6,30,22,多云,东北风,1,0,0,1,3-4级,3,4
191,三亚,2016/1/7,29,21,多云,东北风,1,0,0,1,3-4级,3,4
192,三亚,2016/1/8,29,21,多云,东北风,1,0,0,1,3-4级,3,4
193,三亚,2016/1/9,29,22,多云,东北风,1,0,0,1,3-4级,3,4
194,三亚,2016/1/10,28,22,多云,东北风,1,0,0,1,3-4级,3,4
195,三亚,2016/1/11,29,22,多云,东北风,1,0,0,1,3-4级,3,4
196,三亚,2016/1/12,27,22,小雨,东北风,1,0,0,1,3-4级,3,4
197,三亚,2016/1/13,26,21,小雨,东北风,1,0,0,1,3-4级,3,4
198,三亚,2016/1/14,25,22,小雨,东北风,1,0,0,1,3-4级,3,4
199,三亚,2016/1/15,27,23,多云,东南风,1,1,0,0,3-4级,3,4
200,三亚,2016/1/16,28,23,多云,南风,0,1,0,0,3-4级,3,4
201,三亚,2016/1/17,28,22,多云,东北风,1,0,0,1,3-4级,3,4
202,三亚,2016/1/18,26,21,多云,东北风,1,0,0,1,3-4级,3,4
203,三亚,2016/1/19,26,22,多云,东北风,1,0,0,1,3-4级,3,4
204,三亚,2016/1/20,28,22,多云,东南风,1,1,0,0,3-4级,3,4
205,三亚,2016/1/21,29,23,多云,西南风,0,1,1,0,3-4级,3,4
206,三亚,2016/1/22,30,18,多云~小雨,东北风,1,0,0,1,3-4级,3,4
207,三亚,2016/1/23,20,11,小雨~阴,东北风,1,0,0,1,3-4级,3,4
208,三亚,2016/1/24,14,11,小雨~多云,东北风,1,0,0,1,3-4级,3,4
209,三亚,2016/1/25,16,10,小雨~多云,东北风,1,0,0,1,3-4级,3,4
210,三亚,2016/1/26,21,15,多云~小雨,西北风,0,0,1,1,3-4级,3,4
211,三亚,2016/1/27,25,17,多云~小雨,东北风,1,0,0,1,3-4级,3,4
212,三亚,2016/1/28,24,19,小雨,西南风,0,1,1,0,3-4级,3,4
213,三亚,2016/1/29,28,20,多云,东北风,1,0,0,1,3-4级,3,4
214,三亚,2016/1/30,27,21,多云,东北风,1,0,0,1,3-4级,3,4
215,三亚,2016/1/31,28,22,多云,东北风,1,0,0,1,3-4级,3,4
216,三亚,2016/2/1,27,19,多云~小雨,东北风,1,0,0,1,3-4级,3,4
217,三亚,2016/2/2,24,19,多云,东北风,1,0,0,1,3-4级,3,4
218,三亚,2016/2/3,24,19,多云,东北风,1,0,0,1,3-4级,3,4
219,三亚,2016/2/4,27,19,多云,东北风,1,0,0,1,3-4级,3,4
220,三亚,2016/2/5,26,18,多云,东北风,1,0,0,1,3-4级,3,4
221,三亚,2016/2/6,23,13,晴,东北风,1,0,0,1,3-4级,3,4
222,三亚,2016/2/7,23,13,晴,东北风,1,0,0,1,3-4级,3,4
223,三亚,2016/2/8,24,10,多云,东北风,1,0,0,1,3-4级,3,4
224,三亚,2016/2/9,26,18,多云,东北风,1,0,0,1,3-4级,3,4
225,三亚,2016/2/10,28,19,多云,东北风,1,0,0,1,3-4级,3,4
226,三亚,2016/2/11,29,20,多云,东北风,1,0,0,1,3-4级,3,4
227,三亚,2016/2/12,30,23,多云,东南风,1,1,0,0,3-4级,3,4
228,三亚,2016/2/13,30,23,多云,东南风,1,1,0,0,3-4级,3,4
229,三亚,2016/2/14,29,19,多云~小雨,西南风,0,1,1,0,3-4级,3,4
230,三亚,2016/2/15,24,18,多云,东北风,1,0,0,1,3-4级,3,4
231,三亚,2016/2/16,24,18,多云,东北风,1,0,0,1,3-4级,3,4
232,三亚,2016/2/17,26,19,多云,东北风,1,0,0,1,3-4级,3,4
233,三亚,2016/2/18,26,20,多云,东北风,1,0,0,1,3-4级,3,4
234,三亚,2016/2/19,27,20,多云,东北风,1,0,0,1,3-4级,3,4
235,三亚,2016/2/20,23,20,阴,东北风,1,0,0,1,3-4级,3,4
236,三亚,2016/2/21,25,20,阴,东北风,1,0,0,1,3-4级,3,4
237,三亚,2016/2/22,28,21,多云,东北风,1,0,0,1,3-4级,3,4
238,三亚,2016/2/23,28,20,多云~小雨,东北风,1,0,0,1,3-4级,3,4
239,三亚,2016/2/24,24,19,多云,东北风,1,0,0,1,3-4级,3,4
240,三亚,2016/2/25,24,19,多云,东北风,1,0,0,1,3-4级,3,4
241,三亚,2016/2/26,25,19,多云,东北风,1,0,0,1,3-4级,3,4
242,三亚,2016/2/27,26,17,多云,东北风,1,0,0,1,3-4级,3,4
243,三亚,2016/2/28,25,17,多云,东南风,1,1,0,0,3-4级,3,4
244,三亚,2016/2/29,27,17,多云,东北风,1,0,0,1,3-4级,3,4
245,三亚,2016/3/1,26,19,多云,东北风,1,0,0,1,3-4级,3,4
246,三亚,2016/3/2,27,20,多云,东北风,1,0,0,1,3-4级,3,4
247,三亚,2016/3/3,28,20,多云,东北风,1,0,0,1,3-4级,3,4
248,三亚,2016/3/4,29,19,多云,东北风,1,0,0,1,3-4级,3,4
249,三亚,2016/3/5,29,20,多云,东北风,1,0,0,1,3-4级,3,4
250,三亚,2016/3/6,29,20,多云,东北风,1,0,0,1,3-4级,3,4
251,三亚,2016/3/7,29,20,多云,东北风,1,0,0,1,3-4级,3,4
252,三亚,2016/3/8,29,22,多云,东南风,1,1,0,0,3-4级,3,4
253,三亚,2016/3/9,31,22,多云,东北风,1,0,0,1,3-4级,3,4
